pelaaja_id,Pelaaja_Nimi,Pelaaja_Joukkue,Pelaaja_Pelipaikka,Pelaaja_Syntynyt,Pelaaja_Kansalaisuus,Pelaaja_Syntymäpaikka,Pelaaja_Ikä,Pelaaja_Pituus,Pelaaja_Paino,Pelaaja_Maila
24540847,"Kontiola, Petri",HPK,Keskushyökkääjä,4.10.1984,FIN,"Seinäjoki, FIN",36,182,90,R
60453964,"Audette, Daniel",Lukko,Keskushyökkääjä,5.6.1996,CAN,"Blainville, QC, CAN",24,175,77,L
60455488,"Kestner, Josh",TPS,Vasen laitahyökkääjä,8.11.1993,USA,"Huntsville, AL, USA",27,185,79,R
23770029,"Oksanen, Ahti",KooKoo,Vasen laitahyökkääjä,10.3.1993,FIN,"Espoo, FIN",28,192,97,L
60348444,"Press, Robin",Lukko,Oikea puolustaja,21.12.1994,SWE,"Uppsala, SWE",26,192,95,R
24290689,"Björninen, Hannes",Pelicans,Keskushyökkääjä,19.10.1995,FIN,"Lahti, FIN",25,185,86,L
23351053,"Suomi, Eemeli",Ilves,Vasen laitahyökkääjä,4.12.1995,FIN,"Tampere, FIN",25,177,84,L
60476674,"Wännström, Sebastian",Ässät,Oikea laitahyökkääjä,3.3.1991,SWE,"Gävle, SWE",30,185,86,R
27746619,"Levtchi, Anton",Tappara,Oikea laitahyökkääjä,28.11.1995,FIN,"Varkaus, FIN",25,182,84,L
23889127,"Koivistoinen, Eetu",Lukko,Keskushyökkääjä,13.7.1995,FIN,"Tampere, FIN",25,189,86,L
60476677,"Meyer, Nicolai",Ässät,Vasen laitahyökkääjä,21.7.1993,DEN,"Frederikshavn, DEN",27,183,82,L
100027950,"Kunyk, Cody",Kärpät,Keskushyökkääjä,20.5.1990,CAN,"Sherwook Park, AL, CAN",30,180,88,L
34601569,"Pärssinen, Juuso",TPS,Keskushyökkääjä,1.2.2001,FIN,"Hämeenlinna, FIN",20,190,90,L
24622477,"Kuusela, Kristian",Tappara,Vasen laitahyökkääjä,19.2.1983,FIN,"Seinäjoki, FIN",38,175,84,R
33373610,"Rooba, Robert",JYP,Vasen laitahyökkääjä,2.9.1993,EST,"Tallinna, EST",27,191,94,L
